CHAVE_INTERNA,PORTUGUES,INGLES,NORUEGUES
programs.biostretch.philosophy,"[{""title"":""O QUE É O BIOSTRETCH?"",""content"":[""Biostretch é um sistema de exercícios que promove a reconexão com o corpo por meio da consciência do movimento."",""O método utiliza a atenção como sua principal ferramenta: um recurso simples, poderoso e acessível a todos. Ao direcioná-la para a experiência do movimento, ampliamos a percepção do corpo e abrimos espaço para novas possibilidades de organização corporal."",""Inspirado em mais de quatro décadas de estudos em dança, Educação Somática e meditação, o método reconhece o corpo como um sistema inteligente, integrado e em constante transformação. Em vez de buscar desempenho ou correção, propõe uma investigação sutil da experiência corporal, na qual importa menos o que se faz e mais como se faz."",""É dessa experiência de presença que nasce uma nova forma de perceber e habitar o corpo. Mas como essa transformação acontece na prática?""]},{""title"":""COMO ATUA?"",""content"":[""A prática do Biostretch convida você a desacelerar, relaxar o corpo e direcionar a atenção para movimentos simples e para as sensações que eles despertam."",""Nessa exploração, torna-se possível reconhecer padrões de tensão, hábitos de movimento e formas de organização corporal que costumam permanecer fora da nossa percepção por operarem de forma automática e inconsciente. A aparente simplicidade da prática revela um trabalho profundo de escuta, percepção e reorganização."",""Ao serem realizados de forma lenta, suave e sem esforço, os exercícios favorecem um estado de equilíbrio no sistema nervoso, responsável por coordenar a comunicação entre corpo e mente e regular as funções do organismo. Nesse estado, o corpo encontra espaço para liberar tensões, reorganizar-se e recuperar a fluidez natural do movimento."",""Mais do que ensinar novos movimentos, o Biostretch fortalece a confiança na inteligência inata do corpo e convida a redescobrir o prazer de mover-se com liberdade, presença e consciência. O melhor é que essa experiência está ao alcance de qualquer pessoa.""]},{""title"":""QUEM PODE PRATICAR?"",""content"":[""O Biostretch pode ser praticado por pessoas de todas as idades e diferentes níveis de experiência, condicionamento físico ou mobilidade."",""A prática respeita a individualidade de cada corpo. Não existe um movimento ideal a ser alcançado nem um padrão externo a ser seguido. Cada pessoa explora as sequências dentro de seus próprios limites e possibilidades, no seu próprio ritmo."",""Em vez de adaptar o corpo a um modelo, o Biostretch valoriza aquilo que cada pessoa já possui: sua capacidade de perceber, aprender e encontrar caminhos mais confortáveis e funcionais para o movimento. Assim, a prática fortalece a autonomia, a confiança e o prazer de habitar o próprio corpo."",""E o que essa prática pode transformar no dia a dia?""]},{""title"":""QUAIS OS BENEFÍCIOS?"",""content"":[""A prática regular do Biostretch contribui para aliviar tensões, ampliar a mobilidade, melhorar a postura e tornar os movimentos mais leves, coordenados e confortáveis. Com o tempo, o corpo recupera a fluidez e eficiência, tornando as atividades do dia a dia mais fáceis e prazerosas."",""Ao favorecer o equilíbrio do sistema nervoso, a prática também ajuda a reduzir os efeitos do estresse, melhorar a qualidade da respiração e aliviar dores e desconfortos associados à tensão muscular, especialmente em regiões como pescoço, ombros e costas. Além disso, contribui para prevenir lesões relacionadas a padrões repetitivos e ao uso excessivo do corpo."",""Com o tempo, essas mudanças se estendem para além da prática e passam a fazer parte da maneira como nos movemos, percebemos e utilizamos o corpo no dia a dia.""]}]","[{""title"":""O QUE É O BIOSTRETCH?"",""content"":[""Biostretch é um sistema de exercícios que promove a reconexão com o corpo por meio da consciência do movimento."",""O método utiliza a atenção como sua principal ferramenta: um recurso simples, poderoso e acessível a todos. Ao direcioná-la para a experiência do movimento, ampliamos a percepção do corpo e abrimos espaço para novas possibilidades de organização corporal."",""Inspirado em mais de quatro décadas de estudos em dança, Educação Somática e meditação, o método reconhece o corpo como um sistema inteligente, integrado e em constante transformação. Em vez de buscar desempenho ou correção, propõe uma investigação sutil da experiência corporal, na qual importa menos o que se faz e mais como se faz."",""É dessa experiência de presença que nasce uma nova forma de perceber e habitar o corpo. Mas como essa transformação acontece na prática?""]},{""title"":""COMO ATUA?"",""content"":[""A prática do Biostretch convida você a desacelerar, relaxar o corpo e direcionar a atenção para movimentos simples e para as sensações que eles despertam."",""Nessa exploração, torna-se possível reconhecer padrões de tensão, hábitos de movimento e formas de organização corporal que costumam permanecer fora da nossa percepção por operarem de forma automática e inconsciente. A aparente simplicidade da prática revela um trabalho profundo de escuta, percepção e reorganização."",""Ao serem realizados de forma lenta, suave e sem esforço, os exercícios favorecem um estado de equilíbrio no sistema nervoso, responsável por coordenar a comunicação entre corpo e mente e regular as funções do organismo. Nesse estado, o corpo encontra espaço para liberar tensões, reorganizar-se e recuperar a fluidez natural do movimento."",""Mais do que ensinar novos movimentos, o Biostretch fortalece a confiança na inteligência inata do corpo e convida a redescobrir o prazer de mover-se com liberdade, presença e consciência. O melhor é que essa experiência está ao alcance de qualquer pessoa.""]},{""title"":""QUEM PODE PRATICAR?"",""content"":[""O Biostretch pode ser praticado por pessoas de todas as idades e diferentes níveis de experiência, condicionamento físico ou mobilidade."",""A prática respeita a individualidade de cada corpo. Não existe um movimento ideal a ser alcançado nem um padrão externo a ser seguido. Cada pessoa explora as sequências dentro de seus próprios limites e possibilidades, no seu próprio ritmo."",""Em vez de adaptar o corpo a um modelo, o Biostretch valoriza aquilo que cada pessoa já possui: sua capacidade de perceber, aprender e encontrar caminhos mais confortáveis e funcionais para o movimento. Assim, a prática fortalece a autonomia, a confiança e o prazer de habitar o próprio corpo."",""E o que essa prática pode transformar no dia a dia?""]},{""title"":""QUAIS OS BENEFÍCIOS?"",""content"":[""A prática regular do Biostretch contribui para aliviar tensões, ampliar a mobilidade, melhorar a postura e tornar os movimentos mais leves, coordenados e confortáveis. Com o tempo, o corpo recupera a fluidez e eficiência, tornando as atividades do dia a dia mais fáceis e prazerosas."",""Ao favorecer o equilíbrio do sistema nervoso, a prática também ajuda a reduzir os efeitos do estresse, melhorar a qualidade da respiração e aliviar dores e desconfortos associados à tensão muscular, especialmente em regiões como pescoço, ombros e costas. Além disso, contribui para prevenir lesões relacionadas a padrões repetitivos e ao uso excessivo do corpo."",""Com o tempo, essas mudanças se estendem para além da prática e passam a fazer parte da maneira como nos movemos, percebemos e utilizamos o corpo no dia a dia.""]}]","[{""title"":""O QUE É O BIOSTRETCH?"",""content"":[""Biostretch é um sistema de exercícios que promove a reconexão com o corpo por meio da consciência do movimento."",""O método utiliza a atenção como sua principal ferramenta: um recurso simples, poderoso e acessível a todos. Ao direcioná-la para a experiência do movimento, ampliamos a percepção do corpo e abrimos espaço para novas possibilidades de organização corporal."",""Inspirado em mais de quatro décadas de estudos em dança, Educação Somática e meditação, o método reconhece o corpo como um sistema inteligente, integrado e em constante transformação. Em vez de buscar desempenho ou correção, propõe uma investigação sutil da experiência corporal, na qual importa menos o que se faz e mais como se faz."",""É dessa experiência de presença que nasce uma nova forma de perceber e habitar o corpo. Mas como essa transformação acontece na prática?""]},{""title"":""COMO ATUA?"",""content"":[""A prática do Biostretch convida você a desacelerar, relaxar o corpo e direcionar a atenção para movimentos simples e para as sensações que eles despertam."",""Nessa exploração, torna-se possível reconhecer padrões de tensão, hábitos de movimento e formas de organização corporal que costumam permanecer fora da nossa percepção por operarem de forma automática e inconsciente. A aparente simplicidade da prática revela um trabalho profundo de escuta, percepção e reorganização."",""Ao serem realizados de forma lenta, suave e sem esforço, os exercícios favorecem um estado de equilíbrio no sistema nervoso, responsável por coordenar a comunicação entre corpo e mente e regular as funções do organismo. Nesse estado, o corpo encontra espaço para liberar tensões, reorganizar-se e recuperar a fluidez natural do movimento."",""Mais do que ensinar novos movimentos, o Biostretch fortalece a confiança na inteligência inata do corpo e convida a redescobrir o prazer de mover-se com liberdade, presença e consciência. O melhor é que essa experiência está ao alcance de qualquer pessoa.""]},{""title"":""QUEM PODE PRATICAR?"",""content"":[""O Biostretch pode ser praticado por pessoas de todas as idades e diferentes níveis de experiência, condicionamento físico ou mobilidade."",""A prática respeita a individualidade de cada corpo. Não existe um movimento ideal a ser alcançado nem um padrão externo a ser seguido. Cada pessoa explora as sequências dentro de seus próprios limites e possibilidades, no seu próprio ritmo."",""Em vez de adaptar o corpo a um modelo, o Biostretch valoriza aquilo que cada pessoa já possui: sua capacidade de perceber, aprender e encontrar caminhos mais confortáveis e funcionais para o movimento. Assim, a prática fortalece a autonomia, a confiança e o prazer de habitar o próprio corpo."",""E o que essa prática pode transformar no dia a dia?""]},{""title"":""QUAIS OS BENEFÍCIOS?"",""content"":[""A prática regular do Biostretch contribui para aliviar tensões, ampliar a mobilidade, melhorar a postura e tornar os movimentos mais leves, coordenados e confortáveis. Com o tempo, o corpo recupera a fluidez e eficiência, tornando as atividades do dia a dia mais fáceis e prazerosas."",""Ao favorecer o equilíbrio do sistema nervoso, a prática também ajuda a reduzir os efeitos do estresse, melhorar a qualidade da respiração e aliviar dores e desconfortos associados à tensão muscular, especialmente em regiões como pescoço, ombros e costas. Além disso, contribui para prevenir lesões relacionadas a padrões repetitivos e ao uso excessivo do corpo."",""Com o tempo, essas mudanças se estendem para além da prática e passam a fazer parte da maneira como nos movemos, percebemos e utilizamos o corpo no dia a dia.""]}]"
programs.biostretch.regularClasses.description,"Prática contínua presencial para manutenção do bem-estar.","Continuous in-person practice to maintain well-being.","Kontinuerlig fysisk praksis for å opprettholde velvære."
programs.biostretch.regularClasses.title,"Aulas Regulares","Regular Classes","Faste Timer"
programs.biostretch.subtitle,"Ser forte é ser flexível.","Four decades of research into movement.","Fire tiår med forskning på bevegelse."
programs.biostretch.title,"Biostretch","Biostretch","Biostretch"
programs.biostretch.workshops.alongar-respirar-e-meditar.fullDescription,"Estamos quase sempre ocupados com alguma coisa. Mas estar ocupado não significa, necessariamente, estar presente.
Nosso corpo e nossa mente se acostumaram ao movimento, à ação e aos estímulos constantes. Por isso, simplesmente sentar, ficar em silêncio e estar presente pode ser um desafio.
Vamos primeiro criar condições para que o corpo encontre conforto e quietude.
No workshop Alongar, Respirar e Meditar, vamos explorar movimentos suaves para liberar as articulações e tensões desnecessárias. Vamos buscar pontos de apoio que nos permitam sentar com mais conforto e estabilidade, mantendo a coluna ereta sem rigidez.
A respiração será nossa âncora enquanto o corpo e a mente desaceleram. Sem forçar. Sem tentar alcançar mais do que o corpo permite, apenas percebendo como o corpo está no momento.
Sem precisar alcançar nada. Sem precisar fazer nada. Apenas criando espaço para a meditação acontecer.","We are almost always busy with something. But being busy does not necessarily mean being present.
Our body and mind have grown accustomed to movement, action, and constant stimuli. Therefore, simply sitting, being quiet, and being present can be a challenge.
Let's first create conditions for the body to find comfort and stillness.
In the Stretch, Breathe, and Meditate workshop, we will explore gentle movements to release joints and unnecessary tension. We will seek points of support that allow us to sit with more comfort and stability, keeping the spine upright without rigidity.
The breath will be our anchor as the body and mind slow down. Without forcing. Without trying to reach beyond what the body allows, just noticing how the body is in the moment.
Without needing to achieve anything. Without needing to do anything. Just creating space for meditation to happen.","Vi er nesten alltid opptatt med noe. Men å være opptatt betyr ikke nødvendigvis å være til stede.
Kroppen og sinnet vårt har vent seg til bevegelse, handling og konstante stimuli. Derfor kan det å bare sitte, være stille og være til stede være en utfordring.
La oss først skape betingelser for at kroppen kan finne komfort og stillhet.
I workshopen Strekke, Puste og Meditere vil vi utforske milde bevegelser for å frigjøre ledd og unødvendig spenning. Vi vil søke støttepunkter som lar oss sitte med mer komfort og stabilitet, og holde ryggraden oppreist uten stivhet.
Pusten vil være vårt anker mens kroppen og sinnet roer seg ned. Uten å tvinge. Uten å prøve å nå lenger enn kroppen tillater, bare legge merke til hvordan kroppen er i øyeblikket.
Uten å måtte oppnå noe. Uten å måtte gjøre noe. Bare skape rom for at meditasjon kan skje."
programs.biostretch.workshops.alongar-respirar-e-meditar.shortDescription,"O que acontece quando o corpo e a mente simplesmente param? Vamos juntos preparar o corpo, encontrar a respiração e explorar um caminho para a meditação.","What happens when the body and mind simply stop? Let's prepare the body together, find the breath, and explore a path to meditation.","Hva skjer når kroppen og sinnet rett og slett stopper opp? La oss sammen forberede kroppen, finne pusten og utforske en vei til meditasjon."
programs.biostretch.workshops.alongar-respirar-e-meditar.title,"Alongar, Respirar e Meditar","Stretch, Breathe and Meditate","Strekk, Pust og Mediter"
programs.biostretch.workshops.aprendendo-a-relaxar.fullDescription,"Estar relaxado é nosso estado natural. Por isso, relaxar não é algo que possamos fazer, mas sim algo que podemos deixar acontecer liberando tensões e esforços que já não são necessários.
Quando o corpo se sente seguro e confortável, o relaxamento acontece naturalmente e podemos perceber melhor nossa respiração, nossos movimentos e os hábitos que influenciam a maneira como nos relacionamos com o próprio corpo.
​
No workshop Aprendendo a Relaxar, através de movimentos suaves e sem esforço, conectados com a respiração, vamos criar condições para que o corpo desacelere e o sistema nervoso encontre um estado de maior calma e restauração.
O relaxamento se torna, então, muito mais do que uma pausa. Ele pode ser um caminho para ampliar a consciência, perceber o que acontece dentro de nós e descobrir novas possibilidades de estar no mundo.
Mais calma por dentro. Mais presença, confiança e liberdade para encontrar o mundo lá fora.","Being relaxed is our natural state. Therefore, relaxing is not something we can do, but rather something we can let happen by releasing tension and effort that are no longer necessary.
When the body feels safe and comfortable, relaxation happens naturally, and we can better perceive our breathing, our movements, and the habits that influence how we relate to our own body.
​
In the Learning to Relax workshop, through gentle, effortless movements connected with the breath, we will create the conditions for the body to slow down and the nervous system to find a state of greater calm and restoration.
Relaxation then becomes much more than a pause. It can be a path to expand awareness, perceive what is happening inside us, and discover new possibilities of being in the world.
More calm on the inside. More presence, confidence, and freedom to meet the outside world.","Å være avslappet er vår naturlige tilstand. Derfor er ikke avslapning noe vi kan gjøre, men heller noe vi kan la skje ved å frigjøre spenning og anstrengelse som ikke lenger er nødvendig.
Når kroppen føler seg trygg og komfortabel, skjer avslapning naturlig, og vi kan bedre oppfatte pusten vår, bevegelsene våre og vanene som påvirker hvordan vi forholder oss til vår egen kropp.
​
I workshopen Å Lære Å Slappe Av, gjennom milde, uanstrengte bevegelser knyttet til pusten, vil vi skape betingelsene for at kroppen kan senke farten og nervesystemet finne en tilstand av større ro og gjenoppretting.
Avslapning blir da mye mer enn en pause. Det kan være en vei til å utvide bevisstheten, oppfatte hva som skjer inni oss, og oppdage nye muligheter for å være i verden.
Mer ro på innsiden. Mer tilstedeværelse, selvtillit og frihet til å møte verden utenfor."
programs.biostretch.workshops.aprendendo-a-relaxar.shortDescription,"E se relaxar não fosse algo que você precisa fazer? Descubra como liberar tensões desnecessárias e criar espaço para mais calma e presença.","What if relaxing wasn't something you have to do? Discover how to release unnecessary tension and create space for more calm and presence.","Hva om det å slappe av ikke var noe du må gjøre? Oppdag hvordan du frigjør unødvendig spenning og skaper rom for mer ro og tilstedeværelse."
